2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
783766311.4699999,472858876.78,446816618.31,356514543.46,310806385.6
7128232279.32,6063235015.17,5410283935.42,5444074742.82,5740760817.72
846.13,1798945.69,1252873.52,1556883.1400000001,1606507.1400000001
7067177549.92,7692650100.5,8363610784.28,8761909430.789999,9622532747.470001
52853415.769999996,77853738.89,103551208.15,128052168.28999999,155050119.54
728810010.58,749780627.62,814247448.66,919989265.47,1031721103.62
2565504.9,9667609.28,13736834.44,18522843.27,23404309.58
0.0,189465.11,47599742.73,66140617.43,77713365.18
11302723.26,12697875.299999999,12115844.76,9180484.370000001,7971671.96
51309454.02,32048808.73,1557550.4,263756.83,50508.43
1724875.42,17140443.8,38957736.95,173352746.47,259303467.56
0.0,0.0,0.0,0.0,4735.9
381379815.33,334105624.99,413333139.5,409959135.27,319115369.42
11791900.36,13232580.33,13260563.71,9084282.95,4640927.58
23269642.77,24371362.54,23340127.919999998,19234125.04,6013851.55
160503.24,142030.53,103769.7,108516.17,111222.45
3069766.2600000002,996126.2100000001,248455.04,450363.48,258530.74000000002
465797519.53,539153421.45,586742335.5699999,648737291.88,703599212.4599999
548.83,0.0,0.0,1522.42,14216.86
191476.91,271885.49,143294.21,91707.23,71159.83
2047225.2,2341815.45,2830933.16,2845825.0,2806040.81
1037535.85,770386.2000000001,738863.69,703952.87,3462613.33
16504509.22,15875977.34,16137287.41,14076534.52,13300889.85
0.0,1200834.11,31542408.29,55827154.21,65551787.43
19963960.52,20672725.86,6205931.57,2037738.54,294187.79000000004
0.0,85628.68,22839.28,4505.0,2121.7
626522.94,562302.04,530304.97,634819.4400000001,634171.41
1277637.14,8771931.69,9794595.1,10949332.370000001,13841382.56
0.0,0.0,0.0,0.0,454339.33
0.0,956666.04,9241340.21,9524990.1,3227419.92
111543.66,109755.32,77664.84,316671.72,245234.66
143405830.34,129157145.48,107366087.12,92688463.14,90561898.16
370338.85,236780.66,154054.17,94264.47,74261.54
0.0,0.0,0.0,0.0,38887.31
8140696.05,9362495.28,13048274.71,36554750.26,37608322.92999999
724.8800000000001,298.58000000000004,504.84000000000003,575.02,614.45
544576.03,1994691.51,1994579.2,1398664.1,667105.35
6763.3,16526.57,39247.43,41704.53,35086.65
47941288.61,63101368.410000004,46239903.15,36890509.71,34204631.27
34062584.84,32800085.72,17389928.13,6376099.22,4775335.27
295737964.95,376651112.84,477378863.11,566180296.11,640519314.16
29861.309999999998,102216.58,123428.76999999999,107069.1,18816.78
55743.47,186779.38,263793.67,277422.68,656764.45
100139.6,179819.96,157917.15,103892.86,102201.08
874303.1799999999,830139.6699999999,472308.18,162983.72,25901.420000000002
0.0,2035.0,0.0,20576.42,8588.31
45031650.67,27360326.38,26668497.39,25708470.13,27881439.17
2733101.95,2107833.89,1635421.03,1345822.07,1352337.25
0.0,0.0,0.0,0.0,567042.25
311428.23,5843962.02,19195181.040000003,23911332.419999998,34662139.21
0.0,0.0,0.0,0.0,705365.17
50602404.08,19569872.98,16660736.479999999,7626778.61,1023584.79
0.0,12936646.56,16514667.389999999,19906837.009999998,26049016.45
0.0,0.0,0.0,326.29,630.7
0.0,0.0,0.0,0.0,2396492.86
48350935.86,27095005.77,4617195.51,199195.37,38891.63
0.0,0.0,0.0,0.0,1534221.85
0.0,0.0,345273.61,7576456.680000001,23854023.139999997
925013339.45,1124858034.6,1302979803.9699998,1511229821.6399999,1806319096.9599998
276820041.88,198310475.16,160945472.63000003,148190155.51,152849630.73
58778330.6,202107518.98,285546419.61,355975407.96000004,340090501.74
0.0,0.0,26389.91,947185.96,1500934.34
0.0,0.0,0.0,1404195.69,2983645.06
187891.66,7011325.03,19454726.360000003,5091856.010000001,1498852.95
5236221.11,76866248.87,98355319.06,102789693.85,126923540.16
10625921.469999999,39920924.12,76248988.22,124173725.99,178877048.02
50859131.0,21959380.12,7953263.33,5297071.55,1486871.31
82890.06,26963.13,14860.9,12060.69,11491.5
52439145.58,76412499.07,97483169.96,116167277.44,132584846.54
17160997.65,107300.83,6523.129999999999,3301.52,3820.0299999999997
690260.82,394140.50000000006,318909.7,260621.82,268184.16
318216.47,579319.77,503252.91,446926.0,462285.59
0.0,0.0,12480688.32,47511497.85,108476659.61
0.0,0.0,0.0,273986.24,1011523.24
9584562.180000002,2397327.66,903260.54,74551.84,64899.49
31184756.650000002,38085731.89,45437303.17,47841661.24,52705419.43
0.0,0.0,147849.6,352695.45,547268.6
0.0,721850.96,2262328.94,2609386.45,3373440.26
1410.72,1791.11,3095.67,2609.64,2970.33
