2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
138856732.438,124462210.544,124673341.36400001,105013844.391,40964319.493
4485.0,41402.0,273440.0,456457.0,332417.0
0.0,4493.0,47769.3,145920.25,324793.1
0.0,6481.0,37091.0,36732.0,42739.0
28305.6,18375.0,9832.1,200867.93,470178.0
203592134.485,169430819.479,112142958.442,111851312.96,127157065.029
5070283.921,6805434.6,4473781.6,4482300.8,4989029.0
22705.0,82088.0,346306.0,656177.0,711132.0
31812405.526,32589885.468000002,29189824.027999997,30564779.983000003,26958823.015
259374.624,918899.86,4266240.4,4353992.7,6285968.489
15759995.0,21428970.0,26327073.875,25882975.35,26254797.778
1416209.499,720381.84,493203.272,321191.894,170393.36800000002
1080.0,1519.0,1222.0,606.0,832.0
150680.0,60620.0,31360.0,97570.0,30188.0
0.0,8147.0,2833.0,2411.0,1103.0
600.0,570.5,480.0,518.0,639.0
2712321.0,1482675.0,1749642.0,2354217.0,1475787.0
2576598.56,2557787.2800000003,2082004.0,1939636.0,1551991.0
7028.0,2340.0,1413.0,1517.0,1000.0
0.0,0.0,2483.0,21567.0,19819.0
2840885686.1879997,2873694679.926,1920220016.008,566704651.27,1683329257.1
18783892.948,17917376.650000002,17827754.356000002,17356180.78,12888678.05
185715.59,198566.9,191010.1,186777.1,212640.35
1130363.0,1031848.0,1012287.0,908363.0,540333.0
5390586.5,4815366.7,4688696.9,2956637.5,1791883.0
114003174.5,57604275.84,46676826.804,30079374.162,21874722.546
140301479.858,80069475.5,48826164.999,44738667.0,45203750.998
720.0,1895007.0,1476809.0,1800954.0,1772319.0
985130139.373,942435698.677,952640242.475,918619331.849,935838141.228
143252.4,160345.7,181895.53,190713.505,198422.951
1603552773.933,1664185784.823,1912747212.52,2204771781.279,2398904638.079
509641.0,2034820.0,3087717.0,5895945.0,9391980.0
0.0,1620.0,395910.0,548212.0,644122.0
20974858.483000003,23901040.992,22126802.906999998,17015304.446,15388817.846
14266793.7,11762202.357,1919170.0,260200.0,70660.0
12675854.83,161705791.75,368368185.514,1498849934.714,2087078199.845
0.0,0.0,0.0,0.0,6378.0
751815133.652,509552200.156,539917057.197,434929963.23399997,390567314.506
8152539.3,9162415.1,9668474.1,7044786.0,3548367.0
11489491.218,14548122.184,15598416.807,15006975.289,3331461.0
10890.0,9570.0,7050.0,7110.0,7380.0
526660.0,181520.0,47795.0,52542.0,24910.0
374195154.986,409106282.148,431443546.51199996,458522946.678,478296657.5
81000.0,0.0,0.0,255000.0,1437707.52
1446554.0,2571585.0039999997,1393988.0,782462.0,555765.0
11094290.0,12604993.0,14181040.0,14149800.0,13873630.0
153181.0,105139.0,103778.0,96404.0,1039417.0
1220843.5,1158590.666,1173211.59,1013433.0,944196.5
0.0,6830.0,162866.0,259327.0,292879.0
19850380.237999998,19113302.397,5807067.913,1552104.523,259916.046
0.0,66791.0,21204.0,4287.0,1498.0
2970774.0,2818456.0,2729559.0,2617986.0,2609564.0
9724.0,116217.0,122336.0,129560.0,192010.0
0.0,0.0,0.0,0.0,205808.21
0.0,9439889.0,42350934.514,56746780.842999995,14868918.5
2358.0,3661.6,2606.4,11403.6,6181.6
1190379375.849,893233825.1249999,754098333.1689999,623429231.4070001,601809022.192
4605252.884,2808208.731,1854460.071,1011632.468,753997.744
0.0,0.0,0.0,0.0,8819.0
1396120.0,1602950.0,2200414.0,5611521.0,5565313.5
3038.0,1317.0,2148.0,2537.0,2371.0
1418467.0,4345819.0,3216140.0,2491647.5,1212481.5
321147.0,809191.333,1926825.235,2185372.0,1907460.0
93003503.46700001,117901020.723,80548660.005,62966597.769,58959057.118
830648.0,791472.0,416038.0,150072.0,109387.0
7825621.8,9964340.5,11307509.14,12869226.0,11775455.5
